mutual,tweet1,type1,tweet2,type2,tweet3,type3,tweet4,type4,tweet5,type5,tweet6,type6,tweet7,type7,tweet8,type8,tweet9,type9,tweet10,type10,rated,p1,c1,p2,c2,p3,c3,p4,c4,p5,c5
LaBonteLisa,UCI’s grad student government has been trying to email grad students FOR WEEKS about their right to strike. Admin blocked those emails. They also blocked an email of support from the undergrad student government. Their reason? The content is “political.” It gets worse.,retweet,Why I'm voting No - a thread. TLDR: this contract does not solve most of the problems that brought us out on the picket line in the first place.,tweet,"#USA joins long list of countries that prioritizing #BuildBackBetter in male-dominated sectors &amp; ignoring sectors like health, education &amp; care-work, which are women-dominant. I'm not the only person making this point, but I do have a primer in @WPReview.",retweet,"I'm presenting an iPoster on 9/30 from 11-11:30am PDT entitled ""Negotiating Women's Representation"" on the effects of local women's active participation in peace negotiations on women's political representation in post-conflict states.",reply,"Literally every person I meet: What are you studying? Me: Political science Them: So, whaddya think about this Afghanistan mess? Me:",tweet,"When UC makes it impossibly expensive to be a scientist &amp; live in CA - low wages, no childcare, no housing - it forces out everyone who lacks family money (especially Black/Latine ppl, bc racism). It imposes a poll tax on going into science. And that makes our science worse. 6/",retweet,"If you are a political scientist and think it is an outrage that the Claremont Institute has invited coup architect John Eastman to the APSA annual meeting, please read and consider signing this open letter to the APSA Council: #APSA2021",retweet,"We hear that President Drake - who earns $1m and lives in a house worth $6.5m - will announce that those on strike, including faculty, will have pay docked for demanding that everybody should be able to afford to go to graduate school. That's why we need #FairUCNow",retweet,"But regardless of how you vote, we hope there’s one thing you can take away from this strike: Screw the UC and screw the neoliberal capitalist, racist, ableist, heterosexist, nationalist model of education. Regardless of the contract vote outcome, this fight isn’t over.",retweet,"Respectfully, I will be voting no on this TA. Here’s why: All things being equal, we should ratify a contract based on whether it meets our needs, or we believe that we can’t build the power necessary to win more. Neither of these conditions have been satisfied in my view.",retweet,0,,,,,,,,,,
LakesRotary,"It's time folks. Today, I voted to bring articles of impeachment against Donald Trump. 95 of my colleagues agreed with me! I won't stop standing up for our country and #13thDistrictStrong.",retweet,"Not only is @IlhanMN a duly elected member of Congress, and an American citizen, but she is also a mom. What kind of person would put her and her family in harms way?",retweet,"As a member of the Generation Good Advocates Community, I’m increasing my voting impact by inviting friends to pledge to vote in the upcoming election. Let’s vote for the generations who need us to stand up for their healthy future at the polls. Join me …",tweet,"COVID-19 is no match for Minnesota’s people power! Make your voice heard in the 2020 election – but safely, by voting from home. Request your absentee ballot with this 2-minute application: #VoteMN #VoteFromHome",tweet,I’d say to my friends in DC going along with Trump. Imagine how this video of the President leading a white mob in a “Send Her Back” chant targeting a black refugee is going to look in your kids high school government/history classes. This hatred has got to be stopped.,retweet,Very well written article. This wasn't a debate it was a debacle. And Trumps personal attacks on people were horrendous..,tweet,"The votes are in: After more than 122,000 votes cast, we’re excited to announce the winners of our Name a Snowplow contest! These eight names will soon be on snowplows across the state. Learn more:",retweet,"Thousands of Minnesotans have taken the step to vote from home during 2020 elections. And you can, too! 1. Visit 2. Complete the ""Request for Absentee Ballot"" application - make sure you have a Minnesota-issued driver's licens…",tweet,Today I'm endorsing @JoeBiden for President of the United States. I encourage all like-minded Republicans to get on the right side of history and do the same.,retweet,#7thGenPartner I’m increasing my voting impact by inviting friends to pledge to vote in the upcoming election. Let’s vote for the generations who need us to stand up for their healthy future at the polls. Join me and #VotefortheNextGen,tweet,0,,,,,,,,,,
LauraLoomer,"Take a civics class. DeSantis has a republican legislature. Trump was fighting democrats and republicans in congress AND the senate. But while DeSantis was in congress and in DC, he voted against the wall twice and voted for TPP. He did a lot, I'd say🤣",reply,"How is stating a fact chasing anyone? You're aware Kansas has NEVER elected a democrat Governor while a Dem was President, right? Guess what? They just did in November. The same state that voted against their abortion referendum. Yes, it matters.",reply,"K Abrams was about 1,000x worse than Biden and people know Biden can't pass most things without the house and senate lol. These aren't comparable. I'll ""show up"" on election day and vote down ticket Republican and write in someone for President. Just like neocons did with Trump.",reply,"He's a weak candidate because of his Congressional record. He will not win AZ considering his stance on social security He won't win PA because he's anti fracking and a climate changer Also, is he like Trump or is he not? Because if he is, why would independents vote for him?",reply,? They haven't even liked each other since 2020 when Massie voted against the stimulus package while Trump was worried about winning elections.,reply,"No, but these people (not REP) are delusional. Democrats overwhelmingly vote for their candidate no matter what. Republicans have an identity crisis between America First candidates and squishy Republicans, which unfortunately leads to MAGA voters and/or moderates not voting.",reply,"Lol, every single thing you named was voted on by congress and the senate EXCEPT infrastructure because democrats refused to bring it to a vote under Trump. So thank you for admitting it's congressmen and senators that suck, which we've been saying for years.",reply,"Trump will be the last GOP candidate I ever vote for until they get their shit together. The GOP has done nothing the past two years except ignore their voters and help democrats pass red flag laws, climate change bs, billions to ukraine, and now talking about amnesty.",reply,"Laura's not in DC first of all.. Secondly, what have you got out of voting republican lately? Codifying gay marriage? Spending billions to ukraine? Passing gun legislation? Approving their climate change bs? Approving Bidens Supreme Court justice?",reply,"I know McConnell is the Senate, but thank God he continues to show us how fucking useless voting for the GOP is. This party is beyond dead without Trump.",reply,0,,,,,,,,,,
LemonSlayerUS,Obama didn’t spy on Trump Russia was not a hoax Trump didn’t win the 2020 election Rittenhouse is a murderer Biden isn’t the reason gas prices or inflation are high Trump tried to extort Ukraine and overthrow the U.S. government and Republicans assisted him both times,retweet,"If Trump had succeeded last year, his vice president would have refused to count election results while his supporters physically overpowered Congress from doing anything. But yeah, it’s Biden who wants a “one-party state.”",retweet,Mike Pence is not a hero. Mike Pence tried to do everything possible to prevent Joe Biden's lawful election. Mike Pence called former VP Dan Quayle to ask HOW to do what Trump wanted. Quayle told him all he could was follow the law. And that's what he did. Not a hero.,retweet,"@CNN right now entire segment about Difficulty of Democrats to hold the Senate , not one word about the Republicans ability to win the Senate . While we watched the 1/6 Attack and the majority of GOP supporting the Big Lie . Yo @CNN sound like a #Fox propaganda hit .@MSNBC",retweet,Ginni Thomas in 2018 complaining about liberals forming a “Resistance” against Trump: “Are we losing the civility of legitimate elections - a duly elected president being able to govern?”,retweet,The Dominion Voting System $1.6 billion lawsuit isa revealing that Fox News hosts KNEW Trump's election claims were false yet they kept lying on air. This lawsuit needs to bankrupt Fox News and eradicate them permanently. Just like Alex Jones being bankrupted for his vile lies.,retweet,"“Instead of bowing to election-year pressures or the anti-immigrant tactics of the right, Democrats must support President Biden’s commitment to end Title 42 restrictions immediately and without delay.” My Op-Ed on Title 42 this morning in",retweet,"I don’t believe pundits and media, in general, mention enough how 147 GOP members of Congress voted against certifying the 2020 election for President Biden. Perhaps more focus should be placed upon it.",retweet,Mitch McConnell does not want you to retweet the new ad from Democrat Mike Franken who is running against Chuck Grassley for US Senate. If they lose in Iowa they are in a world of hurt and Mitch will never be in charge of the Senate again.,retweet,"News: A GOP county official in Georgia, who served as a fake elector, escorted 2 operatives working wi/ Trump lawyer Sidney Powell into the county's election offices on same day voting system there was breached, per newly obtained video. Story w/",retweet,0,,,,,,,,,,
LewTurner,"Just watched the film 180° South, looked up Doug to only learn of this, sad to hear - a true friend of conservation",reply,"problem is calculating the s-delegates before first votes are cast, gives competing candidate illusion of losing from the start",reply,Is there a tv tax in UK? Heard that was the case which may be a reason there are less ads. As with many other way h little tv and stream,reply,As a Florida Alum that grew up in Maryland this is a big deal. Lacrosse in that part of the country is like college football in the south - congratulations!,reply,"Fozz is retrogaming royalty, keep the posts coming - with everything devolving into politics i love seeing these systems and games here",reply,Why Not? It's a truck and considering the company and I believe production is already based in ATS States it would be a nice addition. With that said I believe the modders may get this done before the holidays,reply,"fantastic response, the automatic dismissal of an opposing view left or right is killing us as a society",reply,"some of the best trails in the country are found in NH, love hiking up there",reply,"While made as a private citizen she has thrown the University and its reputation under the bus. All I know is that a majority of us, private and public sector alike would be let go making these comments while linking them to our place of employment",reply,"Will pray for your daughter and family, while not quite the same we lost our son in the eighth month of pregnancy and our grief was and still is there years later",reply,0,,,,,,,,,,
LincolnWatchman,"Democrats are trying to pass legislation to reduce inflation, prevent a national depression, and help Americans get a handle on their personal finances, but Republicans are voting against it. Want to cripple the economy? Then vote Republican, by all means!",tweet,"@StephenM Republicans will take away Social Security and Medicare, leaving 66 million vulnerable Americans with no safety net. VOTE DEMOCRAT.",reply,"There are fifty Republican US Senators, and not one is willing to cross the aisle to vote to help American families. Not one.",retweet,"The Texas GOP platform: —Demands a referendum on secession —Declares homosexuality is “an abnormal lifestyle choice” —Claims that President Biden ""was not legitimately elected"" —Calls for the abolishment of the Voting Rights Act This is @DanPatrick's agenda. We must beat him.",retweet,"The people who should be watching this won't, but even if they were watching, it wouldn't matter. It's not like they *believe* Trump won, it's that they don't care and don't give a damn about the Constitution or elections or the rule of law. They just don't care.",retweet,"Discouraged by the poor messaging by Democrats. Hate to say it, but Dem voters needed to be scared into voting because they'd lose something essential. If Dems had focused on the Republican plan to cut Social Security/Medicare, they could have Mopped. The. Floor w/ opponents.",reply,"Russia calls for its ""partner Trump"" to be installed as President. Trump calls for Russia to help him politically. All this while Russia commits war crimes through a brutal, unprovoked invasion of another democratic nation. This is the leader of the Republican Party.",retweet,Andrew Yang just said the FBI searching Trump’s home “seems political.” Yang also said this will “ensure” Trump gets re-elected in 2024. Andrew is actively spreading GOP talking points. He’s doing Fox News’ bidding for them. I’ll say it again: Andrew Yang sides with the Fascists.,retweet,"Um, the Republicans are running on cutting Social Security &amp; Medicare. It’s criminal to lie to these voters and trick them into voting against the only safety net they have! #GOPLies #VoteBlue for #SocialSecurity #Medicare",reply,The GOP refusing to raise the debt limit to pay Trump’s bills—while gaslighting the nation into thinking it’s somehow Biden’s fault—should tell you everything you need to know about their descent into performative politics. They don’t represent the people of the United States.,retweet,0,,,,,,,,,,
ListenToBruce,@MayorJenny Durkan is horrible and should have never been elected in the first place. Shame on all who voted for her.,reply,"do you guys wanna tell this gun-nut, anti-government, annoying dude we went to high school with that literally no one agrees that, ""donald trump isn't racist because he hired a bunch of mexicans to build his real estate empire,"" or should I? nah, why bother.",tweet,"I just cited a really thorough article chronically Trump's history of bigotry when someone on Facebook asked for ""proof that he's a racist,"" and they responded: ""I see a lot of text. Is there actual evidence anywhere?"" That pretty much says it all right there, folks.",tweet,"Twitter is the worst, most toxic and uneducated platform you could be using to get your political news. This is the platform ""POTUS"" uses to address the country whenever he's bored. Which is, a couple times an hour apparently. Seems like he should have more important shit to do?",tweet,if Trump loses there will be acts of violence. that blood will be on his hands.,tweet,"People are trying to figure out what to call Madame Vice President-Elect Kamala Harris' husband. I suggest, Mr. Kamala Harris.",tweet,"don't think I haven't noticed how much ""Mr. Trump"" I hear on NPR now as opposed to ""President."" and I respect the fuck out of it.",tweet,"I want to dry heave at the quote from our PRESIDENT that states: ""Nobody has been better at the military."" Hopefully we all learn to vote before he learns to speak.",tweet,Trump giving his speech at the 2018 turkey pardon did NOT age well and I'm living for it.,tweet,EYES ON SEATTLE RIGHT NOW. DO NOT IGNORE THIS. THIS MESSAGE IS AIMED AT OUR ELECTED OFFICIALS AND THE PEOPLE WHO SERVE BENEATH THEM. YOU ARE NOT DOING YOUR JOBS.,tweet,0,,,,,,,,,,
LouiseGDesigns,"52% of Republicans say they would support postponing the 2020 election if trump wanted to, according to washington post poll. These people are anti American, anti democracy and unreachable. They have no consistent values. Focus on the 48% and non republicans.",retweet,"I am voting YES on a clean bill to end this shutdown and put 800,000 federal employees back to work. Republicans unanimously supported this plan in December—but now they’re playing politics with people’s lives. Enough. Let’s re-open the government today.",retweet,"Today, Trump was asked about Kim Jong-Un’s history of executing political opponents. Trump defended Kim by saying he was “a tough guy.” Trump can’t conceal his admiration for despots, or his disdain for democratic leaders like Justin Trudeau. And still, Republicans stay silent.",retweet,John McCain is a dying American Republican Hero and he is using his time left on Earth standing up against President Trump. He has no other reason to keep fighting Trump other than the fact that he knows Trump is bad for America. Think about that for a minute.,retweet,How do you speak in politics? By voting! That's true for citizens in elections. And it's true for senators who claim to be deeply troubled by President Trump but provide no meaningful check on his power.,retweet,The media covers Trump’s rallies &amp; gives him free airtime. The media is reluctant to call Trump’s lies what they are—LIES. The media is hesitant to call RussiaGate what it is—a CONSPIRACY. The media is not anti-Trump. The media helped elect him &amp; is helping him stay in power.,retweet,"In light @POTUS Trump revoking clearance of &amp; target his political opponents - posting this handy chart from Levitsky &amp; Ziblatt important book “How Democracies Die” p 23. Check out block 2, Trump does something most days advance himself &amp; erode American democracy",retweet,"If Obama was caught on tape committin' a felony as tonight's tape proves, Democrats would call for his resignation by mornin'. Trump is lucky to be surrounded by a GOP congress as corrupt and immoral as he is. We're gonna vote every one of these scoundrels out in Nov!",retweet,Former Director of National Intelligence James Clapper has unequivocally stated that Russia’s attack on the 2016 presidential election helped elect Donald Trump. America has an illegitimate president who is tearing down Democracy. ALL HANDS ON DECK!,retweet,"The GOP controls 68 of the 72 seats deemed competitive this election. If Democrats turn out in big numbers — IF —and flip at least 24 seats blue, we retake control of the House. That is how we STOP TRUMP. Got the math? Great. Early voting has begun. Let’s do this. #BlueWave",retweet,0,,,,,,,,,,
LynnWeis2,In 1938 democrats controlled 80%(!) of the house of representatives &amp; the senate. When Americans got a little taste of social democracy they elected the same dude 4 times! We act like politics will always be roughly 50/50 but that's only if you don't materially improve lives,retweet,"Republicans have never not been hypocrites. The same ilk groaning about stimulus for the people, crying ""Socialism!"" are over the moon for corporate ""bailouts"".",reply,"Do not let @BernieSanders drop out. We need him to fight for every damn vote. If we want to defeat Trump and enact policies of reform, we must go to a contested convention. We didn't get involved in the political process to let the establishment steal our votes.",retweet,"Today, I filed a lawsuit against Donald Trump for engaging in years of financial fraud to enrich himself, his family, and the Trump Organization. There aren't two sets of laws for people in this nation: former presidents must be held to the same standards as everyday Americans.",retweet,"In the past, Republicans used budget reconciliation to pass massive tax breaks for the rich and large corporations with a simple majority vote. As the incoming Chairman of the Budget Committee, I will fight to use the same process to boldly address the needs of working families.",retweet,"Republicans are busy plotting and organizing their next assault, Democrats are coming up with all of the reasons why they can't do anything.",retweet,"In order to codify Roe in to law, we must elect two more senators and abolish the filibuster. We’re an account completely dedicated to just that. Do us a favor: RT this and follow us here if you’re 100% committed to EXPANDING the Senate majority in 2022!",retweet,"We have a chance to actually elect someone who will tenaciously fight for us. Someone who wouldn't even consider putting Wall Street executives in his Cabinet. Someone who has spent decades fighting for what's right, even if it wasn't politically popular. #NotMeUs",retweet,Rant about how the Democrats are leaning extremely middle-right and how genuine lefties are a dying breed in politics.,reply,This ignores 50 years of Democratic thumb twiddling on Roe v Wade. This is not the failure of voters. This is the failure of Democratic leadership and their inaction. The people you are voting for do not represent your interests. This is a problem nobody wants to acknowledge.,reply,0,,,,,,,,,,
MagicalOverload,"📌GREAT NEWS: Democrat Mary Peltola, a former state lawmaker who is Yup’ik, and who would become the first Alaska Native in Congress if elected, is currently LEADING Sarah Palin in the state's ranked-choice voting. Stand by ... NYT, photo",retweet,"Biden has it right. If we lose the House &amp; the Senate in November, Republicans will pass a nationwide ban on abortion. That means Democrats must fight for every seat.",retweet,Democrats are setting up an active shooter alert system because mass shooting survivors taught us how critical real-time info can be. 168 House Republicans said NO to our Amber alert-type warning. They think their political survival trumps our kids' survival — they’re wrong! -NP,retweet,"The U.S. Supreme Court made it easier to own a gun, gave cops the ability to not read Miranda Rights, gave religious schools public funding, and overturned Roe v Wade after 50 years of precedence. Welcome to conservative America. Never vote Republican again.",retweet,"When Republicans have power, they ban abortion, cut billionaires’ taxes and attack LGBT Americans. When Democrats have power, they add jobs, fund veteran care, bring manufacturing home, protect the climate and defend reproductive rights. Which do you think is better for America?",retweet,"If MAGA-Republicans win Congress they’ll fight for Donald Trump. If Democrats win Congress, we will fight for you. That’s what’s on the ballot.",retweet,Why are the Republicans purging hundreds of thousands of voters in Florida and Texas? Why do we still have voting machines that can be hacked with no paper trail? Why won’t the Trump admin spend needed money on election security?,retweet,"Biden's assertion that Trump and extremist Republicans pose a threat to American democracy is, undeniably, true",retweet,"Fuck this illegitimate SCOTUS. Fuck the Republican party that enabled this. And if you don't care that this decision makes women second-class citizens, fuck you too. We don't have the luxury of time--we need to fight NOW. It's Democrats vs. Fascists in 2022. Vote accordingly.",retweet,All 50 Republican Senators opposed a House-passed bill to enshrine a woman’s right to choose the size and timing of her family into law. 49 Democratic Senators sided with a 75% supermajority of the American people who support #RoeVWade. Organize now — and remember in November.,retweet,0,,,,,,,,,,
Malcolmdonaghy,Debra and I were happy to stand in line early this morning to vote to re-elect Senator Raphael Warnock for a full six-year term in the United States Senate. Please go out and vote early today! #EarlyVote #ReElectSenatorWarnock,retweet,"BREAKING: Speaker Nancy Pelosi drops the HAMMER on Donald Trump after his taxes are released, announces that the House ""will move swiftly to advance"" legislation ""requiring"" the IRS to ""conduct an annual audit of the President's finances."" RT TO THANK SPEAKER PELOSI!",retweet,"Max is a Democrat against Fascism, and backs (Ukraine’s) President Zelensky &amp; President Biden! This resister states “The GQP is the party of insurrection, Racism and Conspiracy Theories! If you want to protect Democracy, follow him! #VeesFriends #democracy 👇",retweet,"Dusty is an Air Force Vietnam Veteran, Proud Democrat and supports Biden &amp; Harris! This resister is fully vaccinated and “Says under President Biden, we are much more respected around the world.” If you are like Dusty, and you vote blue, he is worth the follow!",retweet,"Kempo is a Democrat, a cool guy, Political Junkie, and part of our Blue Crew team! This resister is a chemical geek, and a Martial Artist/Karate expert! He wants to see Trump and company in jail! If you agree with Kempo follow him! #DonksFriends",retweet,"Like everyone else, I lost a lot of followers since Elon reinstated Trump’s Twitter account — in my case, over 3,000. If you're staying on Twitter to keep fighting against MAGA Republicans and their extreme-right agenda, reply to this post and drop a 💙 — I’ll follow you back!",retweet,"Tony is a Democrat, Political junkie, who is riding with Biden, and says “F..K Putin”! This resister is the father to a fur baby named Sammy! If you are like Tony, then follow him! #VeesFriends #DonksFriends #JustKeepConnecting",retweet,"Trump's white fragility would not allow him to admit he lost the 2020 election even though he &amp; everyone around him knows he did. It's 2 &amp; a half years since &amp; he still goes on saying he won! Trump, YOU LOST. Get over it. Move on. Focus on all the legal issues you have. #GoJoe 💙",retweet,"If you only retweet ONE thing today, let it be this list of 156 House Republicans who voted to raise the retirement age for Social Security to age 70. Don't let them get away with it. Make sure EVERYONE knows.",retweet,"Son of two, Irish in Oz, Aston Martin &amp; Liverpool fan, Politically agnostic but DEFINITELY ANTI-TRUMP (he’s a FRAUD, not a politician has 785 followers and would like to meet other never- trumpers like you!",retweet,0,,,,,,,,,,
MayerTBryan,@MayorJenny Durkan is horrible and should have never been elected in the first place. Shame on all who voted for her.,reply,"do you guys wanna tell this gun-nut, anti-government, annoying dude we went to high school with that literally no one agrees that, ""donald trump isn't racist because he hired a bunch of mexicans to build his real estate empire,"" or should I? nah, why bother.",tweet,"I just cited a really thorough article chronically Trump's history of bigotry when someone on Facebook asked for ""proof that he's a racist,"" and they responded: ""I see a lot of text. Is there actual evidence anywhere?"" That pretty much says it all right there, folks.",tweet,"Twitter is the worst, most toxic and uneducated platform you could be using to get your political news. This is the platform ""POTUS"" uses to address the country whenever he's bored. Which is, a couple times an hour apparently. Seems like he should have more important shit to do?",tweet,if Trump loses there will be acts of violence. that blood will be on his hands.,tweet,"People are trying to figure out what to call Madame Vice President-Elect Kamala Harris' husband. I suggest, Mr. Kamala Harris.",tweet,"don't think I haven't noticed how much ""Mr. Trump"" I hear on NPR now as opposed to ""President."" and I respect the fuck out of it.",tweet,"I want to dry heave at the quote from our PRESIDENT that states: ""Nobody has been better at the military."" Hopefully we all learn to vote before he learns to speak.",tweet,Trump giving his speech at the 2018 turkey pardon did NOT age well and I'm living for it.,tweet,EYES ON SEATTLE RIGHT NOW. DO NOT IGNORE THIS. THIS MESSAGE IS AIMED AT OUR ELECTED OFFICIALS AND THE PEOPLE WHO SERVE BENEATH THEM. YOU ARE NOT DOING YOUR JOBS.,tweet,0,,,,,,,,,,
MervynTheMenace,"After all of those years of Republicans claiming that if we elected Obama, he would declare martial law, what do they have to say now that Donald Trump actually did declare martial law? I said it once and I’ll say it again. This is how Hitler happened. #MARTIALLAW",retweet,"Republicans who stole Supreme Court seat &amp; confirmed another justice 8 days before election when 65 million had already voted, then tried for 2 months to overturn a free &amp; election that culminated in violent coup, don't get to lecture Dems about unity, healing or democratic norms",retweet,@POTUS TN's governor Bill Lee is trying to have us put to death for not being exactly like him. He is refusing federal help over and over to make a show of supporting Trump. Someone must stand up and stop him before they put chains on us and its too late. I'm losing hope.,reply,#PresidentialDebate #Debate2020 Trump said Biden called African Americans super predators..wtf that was Clinton. Did anyone else catch that?,tweet,I love Finneas. And a lot of us are voting for Biden because not voting is a vote for Trump 🤷🏽‍♀️,tweet,The only controversy about Biden saying 10-15% of Americans are bad people is he’s way too low in his estimate. The Trump base is at least 35%. Fuck every single one of them.,retweet,"If Senate Republicans fail to convict Donald Trump, it won't be because the facts were with him or his lawyers mounted a competent defense. It will be because the jury includes his co-conspirators.",retweet,Trump told white supremacists to “stand by” tonight. Please please please please please get yourself to the polls and cast your vote. Don’t let Trump steal this election by discounting mail in ballots. Be there. Vote. It could be your last chance,retweet,The Senate shouldn't vote until the American people do.,retweet,"President Trump’s decision to leave the during a global pandemic alienates our allies, undermines our global leadership, and threatens the health of the American people. Trump needs to reverse this reckless decision immediately.",retweet,0,,,,,,,,,,
MrGoldenSports,"@benshapiro I dislike Donald Trump, but Joe Biden is so much worse. He has destroyed this country in two years and now we are paying for it. I work in the medical field full of liberals and even they are saying they will never vote democrat again. Maybe they are just saying that but still.",reply,It won't be to long after the elections they start turning on Biden and each other. The democratic Lt. Governor in Georgia endorsed the Republican gubernatorial candidate. Let's see how long that guy lives once Hillary Clinton finds out.,reply,"@PressSec @POTUS It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he forgot to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,"@elonmusk I'll turn that shit around in 90 days. I would ban every political figure on both sides, every person in media, and anyone who puts a Ukrainian flag and pronouns in there profile. No more Trump, no more Biden, and nor more AOC. It would be a utopia of conversation.",reply,"@SenSanders It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he for got to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,"It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he for got to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,"@JackPosobiec It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he for got to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,"@Timcast It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he for got to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,"It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he for got to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,"@gregkellyusa It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he for got to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,0,,,,,,,,,,
MysterySolvent,"I'm not saying I'm unhappy Republicans are finally turning against Trump, all I'm saying is they only did it after he already lost the House, the Presidency, the Senate, 350,000 lives, and any moral standing America had in the world.",retweet,The Republicans are ruthless and rampant! They fight as a team! FoxNews! OAN! NEWSMAX! SCOTUS! THE SENATE! MANCHIN! TRUMP etc.. As a Democrat I want the entire Democratic Party to fight as a team! NOT JUST ASKING PRESIDENT BIDEN ALONE TO FIGHT!#wtpBLUE #DemVoice1,retweet,Democrats voted for Biden in record numbers. His “Senate Majority” is impotent because of Manchin &amp; Sinema. Biden stepped up &amp; took Trump down because he loves his country. Stop bashing him. All you will do is elect Republicans &amp; help end Democracy. Fucking Stop It. #FreshWords,retweet,"This is in Kentucky: The state now has 1,676,743 registered Democrats compared to 1,511,821 Republicans. McConnell 1.2 million votes McGrath 816,000 Trump. 1.3 million Biden. 772,000 I DO NOT BELIEVE THAT HALF OF THE DEMOCRATS DIDN'T VOTE, DO YOU?",retweet,"NEVER FORGET: 197 House Republicans voted ""Nay"" when it came time to impeach Trump for inciting an insurrection. 43 Republican Senators acquitted him. They all knew! #FreshResists",retweet,"If you were horrified by what you saw on January 6, 2021 understand that 35 Senate Republicans voted against a bipartisan commission to investigate that day. Flipping PA blue + protecting our Democratic majority has *never* been more urgent.",retweet,Republicans who voted against President Biden’s infrastructure plan are now begging for funding for projects. Please watch!,retweet,"BREAKING: Trump and Republicans panic as a new poll from the conservative Rasmussen Reports finds that President Biden’s approval rating has skyrocketed by a whopping 11% in a single month, from 36% up to 47%, after multiple legislative wins. RT IF YOU SUPPORT PRESIDENT BIDEN!",retweet,8 Republican Senators who are women voted against equal pay for equal work! Republicans just don’t make any sense!,retweet,"TO: ALL NETWORKS, CABLE STATIONS, PODCASTERS, ANYONE WITH A PLATFORM-Don't cover Trump on the day that we restore the republic with the inauguration of President-elect Joe Biden. Trump is planning a mass rally at the Andrews AF Base the morning of the Inauguration. Ignore him.",retweet,0,,,,,,,,,,
NYGATOR1,"Just watched the film 180° South, looked up Doug to only learn of this, sad to hear - a true friend of conservation",reply,"problem is calculating the s-delegates before first votes are cast, gives competing candidate illusion of losing from the start",reply,Is there a tv tax in UK? Heard that was the case which may be a reason there are less ads. As with many other way h little tv and stream,reply,As a Florida Alum that grew up in Maryland this is a big deal. Lacrosse in that part of the country is like college football in the south - congratulations!,reply,"Fozz is retrogaming royalty, keep the posts coming - with everything devolving into politics i love seeing these systems and games here",reply,Why Not? It's a truck and considering the company and I believe production is already based in ATS States it would be a nice addition. With that said I believe the modders may get this done before the holidays,reply,"fantastic response, the automatic dismissal of an opposing view left or right is killing us as a society",reply,"some of the best trails in the country are found in NH, love hiking up there",reply,"While made as a private citizen she has thrown the University and its reputation under the bus. All I know is that a majority of us, private and public sector alike would be let go making these comments while linking them to our place of employment",reply,"Will pray for your daughter and family, while not quite the same we lost our son in the eighth month of pregnancy and our grief was and still is there years later",reply,0,,,,,,,,,,
